Time,Seconds,Latitude / Y Position (Degrees),Longitude / X Position (Degrees),Distance (Miles),Speed (MPH),Steering Angle,Throttle Position,Engine RPM,Lateral Gs,Acceleration Gs
2018-04-08 10:31:46.107262,703.409949,30.325269,-97.756002,7.62,53.0,-4.3,1,1832,0.07,-0.07
2018-04-08 10:31:46.190667,703.493355,30.325251,-97.756003,7.62,52.843999999999994,-4.2,1,1829,0.07,-0.07
2018-04-08 10:31:46.290668,703.593355,30.325231,-97.756004,7.62,52.656000000000006,-4.0,1,1826,0.07,-0.07
2018-04-08 10:31:46.390668,703.693355,30.32521,-97.756004,7.62,52.468999999999994,-3.9,1,1822,0.07,-0.06
2018-04-08 10:31:46.490668,703.793355,30.325189,-97.756005,7.63,52.282,-3.7,1,1819,0.07,-0.06
2018-04-08 10:31:46.590667,703.8933549999999,30.325169,-97.756006,7.63,52.093999999999994,-3.5,1,1815,0.07,-0.06
2018-04-08 10:31:46.690667,703.993355,30.325148,-97.756007,7.63,51.907,-3.3,1,1812,0.07,-0.06
2018-04-08 10:31:46.707543,704.01023,30.325145000000003,-97.756007,7.63,51.875,-3.3,1,1811,0.08,-0.06
2018-04-08 10:31:46.790668,704.093355,30.325128000000003,-97.756008,7.63,51.823,-3.2,1,1808,0.08,-0.06
2018-04-08 10:31:46.890668,704.193355,30.325108,-97.75600899999999,7.63,51.761,-3.0,1,1805,0.08,-0.06
2018-04-08 10:31:46.958291,704.260978,30.325094,-97.75600899999999,7.63,51.718,-2.9,1,1802,0.08,-0.06
2018-04-08 10:31:46.990668,704.293355,30.325088,-97.75600899999999,7.63,51.698,-2.8,1,1801,0.08,-0.06
2018-04-08 10:31:47.090667,704.3933549999999,30.325066999999997,-97.75601,7.63,51.636,-2.6,1,1798,0.07,-0.06
2018-04-08 10:31:47.109637,704.412325,30.325063,-97.75601,7.63,51.623999999999995,-2.6,1,1797,0.07,-0.06
2018-04-08 10:31:47.109693,704.41238,30.325063,-97.75601,7.63,51.623999999999995,-2.6,1,1797,0.07,-0.06
2018-04-08 10:31:47.190667,704.493355,30.325046999999998,-97.756011,7.64,51.573,-2.5,1,1794,0.06,-0.06
2018-04-08 10:31:47.290668,704.593355,30.325027000000002,-97.756012,7.64,51.511,-2.3,1,1790,0.05,-0.06
2018-04-08 10:31:47.390668,704.693356,30.325006,-97.756012,7.64,51.448,-2.2,1,1787,0.04,-0.06
2018-04-08 10:31:47.490669,704.7933559999999,30.324986,-97.756013,7.64,51.386,-2.0,1,1783,0.03,-0.06
2018-04-08 10:31:47.590669,704.8933559999999,30.324965999999996,-97.75601400000001,7.64,51.324,-1.8,1,1779,0.03,-0.06
2018-04-08 10:31:47.690668,704.993356,30.324946,-97.756015,7.64,51.261,-1.7,1,1776,0.02,-0.06
2018-04-08 10:31:47.708400,705.011087,30.324942,-97.756015,7.64,51.25,-1.6,1,1775,0.02,-0.06
2018-04-08 10:31:47.790668,705.093356,30.324926,-97.756015,7.64,51.096000000000004,-1.5,1,1772,0.01,-0.06
2018-04-08 10:31:47.890668,705.193356,30.324906,-97.756016,7.65,50.909,-1.4,1,1768,-0.0,-0.06
2018-04-08 10:31:47.990669,705.2933559999999,30.324886,-97.756017,7.65,50.722,-1.2,1,1765,-0.01,-0.06
2018-04-08 10:31:48.007819,705.3105059999999,30.324882000000002,-97.756017,7.65,50.69,-1.2,1,1764,-0.01,-0.06
2018-04-08 10:31:48.090669,705.3933559999999,30.324865999999997,-97.75601800000001,7.65,50.535,-1.0,1,1761,-0.01,-0.06
2018-04-08 10:31:48.109887,705.412575,30.324862,-97.75601800000001,7.65,50.498999999999995,-1.0,1,1760,-0.01,-0.06
2018-04-08 10:31:48.119518,705.422205,30.324859999999997,-97.75601800000001,7.65,50.481,-1.0,1,1760,-0.01,-0.06
2018-04-08 10:31:48.190668,705.493356,30.324846,-97.75601800000001,7.65,50.347,-0.9,1,1755,-0.02,-0.07
2018-04-08 10:31:48.290668,705.593356,30.324826,-97.756019,7.65,50.16,-0.8,1,1748,-0.02,-0.07
2018-04-08 10:31:48.390668,705.693356,30.324807,-97.75601999999999,7.65,49.973,-0.6,1,1741,-0.02,-0.07
2018-04-08 10:31:48.490669,705.7933559999999,30.324787,-97.75601999999999,7.65,49.786,-0.5,1,1734,-0.02,-0.07
2018-04-08 10:31:48.590669,705.8933559999999,30.324768,-97.75602099999999,7.65,49.599,-0.4,1,1727,-0.03,-0.07
